City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,lisala,2.15,21.5167,25.84,82,89,0.94,CD,1730271199
251,kerikeri,-35.2268,173.9474,15.51,75,3,1.79,NZ,1730271201
252,buurhakaba,2.8026,44.0781,29.61,52,9,2.38,SO,1730271202
253,bam,29.106,58.357,22.36,23,0,3.39,IR,1730271203
254,el calafate,-50.3408,-72.2768,8.21,85,100,2.48,AR,1730270636
255,gereshk,31.8209,64.5701,23.28,17,0,1.23,AF,1730271206
256,nagqu,31.5,92.0,12.06,10,26,10.27,CN,1730270784
257,votuporanga,-20.4228,-49.9728,22.08,82,0,2.43,BR,1730271208
258,pariaman,-0.619,100.12,32.03,66,100,3.44,ID,1730271210
259,laramie,41.3114,-105.5911,-0.79,87,0,3.09,US,1730271211
260,kavalerovo,44.2661,135.0572,7.11,91,100,2.79,RU,1730271212
261,kodinsk,58.6881,99.1844,1.26,97,100,4.1,RU,1730271214
262,tambacounda,13.7539,-13.7586,25.96,60,83,1.64,SN,1730271215
263,natal,-5.795,-35.2094,23.12,88,20,2.57,BR,1730270920
264,glenwood springs,39.5505,-107.3248,2.57,93,75,1.59,US,1730271219
265,lan sak,15.4529,99.5761,31.45,62,7,1.48,TH,1730271220
266,sandnessjoen,66.0217,12.6316,5.06,65,75,3.6,NO,1730271221
267,kourou,5.1552,-52.6478,24.32,90,98,1.23,GF,1730271223
268,marsabit,2.3284,37.9899,24.63,40,31,6.29,KE,1730271224
269,uji,34.8833,135.8,19.64,60,7,4.75,JP,1730271225
270,abepura,-2.6333,140.5833,32.45,58,20,5.66,ID,1730270749
271,winkler,49.1817,-97.941,5.12,75,100,4.12,CA,1730271228
272,kidal,18.4411,1.4078,24.34,14,73,5.47,ML,1730271229
273,bel ombre,-4.6167,55.4167,29.91,70,20,1.03,SC,1730271231
274,callao,-12.0667,-77.15,18.73,82,75,4.63,PE,1730271232
275,erenhot,43.6475,111.9767,13.19,52,100,7.33,CN,1730271234
276,kani keli,-12.9536,45.1033,29.59,80,23,3.0,YT,1730271235
277,yuzhno-kurilsk,44.0306,145.8556,10.31,75,100,2.74,RU,1730271237
278,vilyuchinsk,52.9306,158.4028,3.15,70,100,18.07,RU,1730271238
279,sarangani,5.4033,125.4636,28.72,71,99,4.79,PH,1730271239
280,xai-xai,-25.0519,33.6442,22.17,85,100,5.38,MZ,1730271240
